gene ID,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,Orth_group
Os10g0552600,0,2.766598979,0.989,0.841,0,cortex,Os10g0552600,ORTHO905GF000160
Os04g0554500,0,2.526106584,0.836,0.558,0,cortex,Os04g0554500,ORTHO905GF000160
Os10g0552700,0,2.095897301,0.979,0.793,0,cortex,Os10g0552700,ORTHO905GF000160
Os03g0103100,0,2.0273879,0.509,0.178,0,cortex,Os03g0103100,ORTHO905GF000237
Os12g0548401,0,1.90151179,0.942,0.493,0,cortex,Os12g0548401,ORTHO905GF000034
Os11g0115100,0,1.892313399,0.479,0.141,0,cortex,Os11g0115100,ORTHO905GF000074
None,0,1.877270254,0.843,0.252,0,cortex,None,#N/A
Os12g0114800,0,1.751483705,0.491,0.104,0,cortex,Os12g0114800,ORTHO905GF000074
Os02g0662000,0,1.648360058,0.999,0.977,0,cortex,Os02g0662000,ORTHO905GF000160
Os03g0385400,0,1.579945259,0.811,0.353,0,cortex,Os03g0385400,ORTHO905GF027508
Os07g0287400,0,1.460379902,0.622,0.106,0,cortex,Os07g0287400,ORTHO905GF001085
Os06g0547400,0,1.419938247,0.784,0.279,0,cortex,Os06g0547400,ORTHO905GF000621
Os10g0330000,0,1.399731007,0.535,0.24,0,cortex,Os10g0330000,ORTHO905GF004875
Os10g0552800,0,1.391999964,0.883,0.746,0,cortex,Os10g0552800,ORTHO905GF000160
Os01g0214500,0,1.356481337,0.639,0.264,0,cortex,Os01g0214500,ORTHO905GF008320
Os03g0836800,0,1.326044883,0.603,0.173,0,cortex,Os03g0836800,ORTHO905GF000665
Os03g0708000,0,1.253813699,0.841,0.252,0,cortex,Os03g0708000,ORTHO905GF008137
Os12g0548700,0,1.232627614,0.948,0.815,0,cortex,Os12g0548700,ORTHO905GF000034
Os07g0676900,0,1.203764746,0.856,0.544,0,cortex,Os07g0676900,ORTHO905GF001187
Os02g0658100,0,1.195504232,0.818,0.514,0,cortex,Os02g0658100,ORTHO905GF001253
Os11g0702100,0,1.088615395,0.722,0.348,0,cortex,Os11g0702100,ORTHO905GF016762
Os07g0492000,0,1.063401313,0.989,0.924,0,cortex,Os07g0492000,ORTHO905GF005427
Os07g0198300,0,1.047213145,0.639,0.168,0,cortex,Os07g0198300,ORTHO905GF001138
Os09g0483500,0,1.035680006,0.682,0.326,0,cortex,Os09g0483500,ORTHO905GF001269
Os04g0475600,0,0.994971815,0.699,0.356,0,cortex,Os04g0475600,ORTHO905GF002724
Os12g0548501,0,0.990407102,0.782,0.51,0,cortex,Os12g0548501,ORTHO905GF000034
Os01g0881300,0,0.982266994,0.49,0.106,0,cortex,Os01g0881300,#N/A
Os06g0114500,0,0.963217422,0.746,0.208,0,cortex,Os06g0114500,ORTHO905GF001972
Os07g0539100,0,0.933719288,0.76,0.407,0,cortex,Os07g0539100,ORTHO905GF016757
Os04g0618700,0,0.924025589,0.708,0.205,0,cortex,Os04g0618700,ORTHO905GF005516
Os08g0405700,0,0.913912537,0.622,0.198,0,cortex,Os08g0405700,ORTHO905GF011933
Os04g0505200,0,0.895516104,0.563,0.084,0,cortex,Os04g0505200,ORTHO905GF000963
Os12g0571700,0,0.876289196,0.562,0.102,0,cortex,Os12g0571700,ORTHO905GF052248
Os01g0704901,0,0.861472921,0.704,0.273,0,cortex,Os01g0704901,#N/A
Os01g0314800,0,0.858721218,0.946,0.796,0,cortex,Os01g0314800,ORTHO905GF003121
Os09g0475800,0,0.833929406,0.631,0.334,0,cortex,Os09g0475800,ORTHO905GF015888
Os09g0272600,0,0.828997577,0.358,0.059,0,cortex,Os09g0272600,ORTHO905GF027183
Os06g0529900,0,0.770326591,0.576,0.237,0,cortex,Os06g0529900,ORTHO905GF013981
Os03g0351700,0,0.762141909,0.775,0.455,0,cortex,Os03g0351700,ORTHO905GF049107
None,0,0.759653635,0.571,0.088,0,cortex,None,#N/A
Os04g0403900,0,0.756632089,0.996,0.985,0,cortex,Os04g0403900,ORTHO905GF017202
Os05g0402900,0,0.730687501,0.967,0.787,0,cortex,Os05g0402900,ORTHO905GF002009
Os05g0453700,0,0.730114279,0.965,0.926,0,cortex,Os05g0453700,ORTHO905GF004197
Os03g0172100,0,0.720201247,0.993,0.969,0,cortex,Os03g0172100,ORTHO905GF012371
Os03g0244200,0,0.717785443,0.883,0.647,0,cortex,Os03g0244200,ORTHO905GF000448
Os01g0948200,0,0.706172421,0.59,0.213,0,cortex,Os01g0948200,ORTHO905GF004007
Os06g0133200,0,0.702572885,0.81,0.537,0,cortex,Os06g0133200,ORTHO905GF022922
Os02g0671100,0,0.682770403,0.88,0.693,0,cortex,Os02g0671100,ORTHO905GF027680
Os10g0371000,0,0.674368764,0.963,0.813,0,cortex,Os10g0371000,ORTHO905GF002780
Os04g0629500,0,0.673305078,0.701,0.364,0,cortex,Os04g0629500,ORTHO905GF006928
Os01g0191900,0,0.65025809,0.415,0.086,0,cortex,Os01g0191900,ORTHO905GF000437
Os03g0405500,0,0.650016583,0.559,0.186,0,cortex,Os03g0405500,ORTHO905GF004384
Os10g0370500,0,0.648898754,0.771,0.475,0,cortex,Os10g0370500,ORTHO905GF002700
Os07g0569100,0,0.64758108,0.933,0.798,0,cortex,Os07g0569100,ORTHO905GF002295
Os05g0209500,0,0.637366791,0.896,0.663,0,cortex,Os05g0209500,ORTHO905GF008320
Os06g0246000,0,0.63061083,0.999,0.998,0,cortex,Os06g0246000,ORTHO905GF000973
Os01g0743200,0,0.628488938,0.309,0.041,0,cortex,Os01g0743200,ORTHO905GF003589
Os11g0448700,0,0.624221776,0.468,0.086,0,cortex,Os11g0448700,ORTHO905GF014015
Os01g0713200,0,0.621347514,0.325,0.045,0,cortex,Os01g0713200,ORTHO905GF000093
Os02g0741700,0,0.612475991,0.534,0.222,0,cortex,Os02g0741700,ORTHO905GF000553
Os01g0276700,0,0.604965396,0.924,0.77,0,cortex,Os01g0276700,ORTHO905GF001319
Os07g0529800,0,0.597807494,0.999,0.993,0,cortex,Os07g0529800,ORTHO905GF001619
Os03g0751600,0,0.575503562,0.479,0.15,0,cortex,Os03g0751600,ORTHO905GF002874
Os01g0962700,0,0.556466955,0.347,0.054,0,cortex,Os01g0962700,ORTHO905GF001091
Os08g0126300,0,0.552397473,0.838,0.601,0,cortex,Os08g0126300,ORTHO905GF001566
Os03g0147400,0,0.549084161,0.902,0.671,0,cortex,Os03g0147400,ORTHO905GF001841
Os03g0700700,0,0.546612472,0.965,0.885,0,cortex,Os03g0700700,ORTHO905GF000154
Os01g0884700,0,0.538017355,0.762,0.517,0,cortex,Os01g0884700,ORTHO905GF016800
Os11g0140600,0,0.535996097,0.942,0.804,0,cortex,Os11g0140600,ORTHO905GF001401
Os09g0434500,0,0.518587014,0.84,0.525,0,cortex,Os09g0434500,ORTHO905GF014062
Os01g0952600,0,0.510676128,0.578,0.255,0,cortex,Os01g0952600,ORTHO905GF010027
Os03g0759700,0,0.505430724,0.342,0.045,0,cortex,Os03g0759700,ORTHO905GF002008
Os04g0464200,0,0.502340798,0.535,0.175,0,cortex,Os04g0464200,ORTHO905GF002852
Os09g0381600,4.21E-307,0.529546896,0.524,0.208,1.65E-302,cortex,Os09g0381600,ORTHO905GF000553
Os01g0725000,5.54E-307,0.682828302,0.88,0.72,2.17E-302,cortex,Os01g0725000,ORTHO905GF045339
Os01g0723400,1.39E-306,0.527133825,0.921,0.796,5.44E-302,cortex,Os01g0723400,ORTHO905GF000641
#N/A,2.21E-303,1.642279968,0.392,0.115,8.66E-299,cortex,#N/A,#N/A
Os01g0112000,6.18E-303,0.942106332,0.498,0.211,2.42E-298,cortex,Os01g0112000,ORTHO905GF020673
Os01g0266400,5.39E-297,0.726766184,0.86,0.681,2.11E-292,cortex,Os01g0266400,ORTHO905GF015837
Os02g0526400,8.49E-285,0.614578271,0.642,0.362,3.33E-280,cortex,Os02g0526400,ORTHO905GF006109
Os01g0860800,2.73E-284,0.674481607,0.747,0.535,1.07E-279,cortex,Os01g0860800,ORTHO905GF001063
Os04g0476100,1.06E-282,0.510548949,0.45,0.156,4.14E-278,cortex,Os04g0476100,ORTHO905GF003368
Os03g0242300,9.66E-278,0.650801257,0.678,0.387,3.79E-273,cortex,Os03g0242300,ORTHO905GF015630
Os02g0300700,9.04E-276,0.83750802,0.889,0.772,3.55E-271,cortex,Os02g0300700,ORTHO905GF006156
Os06g0133300,9.54E-274,0.984088582,0.761,0.542,3.74E-269,cortex,Os06g0133300,ORTHO905GF007614
Os09g0483100,2.93E-272,1.069559728,0.765,0.585,1.15E-267,cortex,Os09g0483100,ORTHO905GF001269
Os09g0484200,1.69E-271,0.840759492,0.74,0.5,6.64E-267,cortex,Os09g0484200,ORTHO905GF047455
Os08g0155900,4.87E-267,0.646340099,0.539,0.246,1.91E-262,cortex,Os08g0155900,ORTHO905GF050913
Os09g0482800,9.14E-267,0.848920186,0.943,0.889,3.59E-262,cortex,Os09g0482800,ORTHO905GF001269
Os01g0111800,5.62E-265,0.548507481,0.823,0.615,2.20E-260,cortex,Os01g0111800,ORTHO905GF017467
Os05g0194900,1.56E-264,0.636457376,0.84,0.697,6.14E-260,cortex,Os05g0194900,ORTHO905GF024870
