gene ID;p_val;avg_log2FC;pct.1;pct.2;p_val_adj;cluster;gene;Orth_group
TraesCS1D03G0023700;0;0.5;0.5;0.5;0;0;TraesCS1D03G0023700;ORTHO905GF010478
TraesCS6D03G0852900;0;0.5;0.5;0.5;0;0;TraesCS6D03G0852900;ORTHO905GF023668
TraesCS2D03G0800100;0;0.5;0.5;0.5;0;0;TraesCS2D03G0800100;ORTHO905GF005359
TraesCS3D03G0000500;0;0.5;0.5;0.5;0;0;TraesCS3D03G0000500;ORTHO905GF000395
TraesCS5D03G0073400;0;0.5;0.5;0.5;0;0;TraesCS5D03G0073400;ORTHO905GF005385
TraesCS1B03G1079900;0;0.5;0.5;0.5;1.43E-284;0;TraesCS1B03G1079900;ORTHO905GF005385
TraesCS4B03G0841400;0;0.5;0.5;0.5;7.20E-280;0;TraesCS4B03G0841400;ORTHO905GF002219
TraesCS5A03G0057300;0;0.5;0.5;0.5;2.83E-271;0;TraesCS5A03G0057300;ORTHO905GF005385
TraesCS7D03G0410800;0;0.5;0.5;0.5;1.06E-262;0;TraesCS7D03G0410800;ORTHO905GF000931
TraesCS2B03G1153900;0;0.5;0.5;0.5;1.18E-262;0;TraesCS2B03G1153900;ORTHO905GF014033
TraesCS2D03G0324500;0;0.5;0.5;0.5;3.81E-256;0;TraesCS2D03G0324500;ORTHO905GF004852
TraesCS5D03G1173000;0;0.5;0.5;0.5;1.07E-250;0;TraesCS5D03G1173000;ORTHO905GF004852
TraesCS4A03G1117600;0;0.5;0.5;0.5;3.09E-236;0;TraesCS4A03G1117600;ORTHO905GF000362
TraesCS1D03G0221500;0;0.5;0.5;0.5;3.64E-229;0;TraesCS1D03G0221500;ORTHO905GF006714
TraesCS3D03G1197600;0;0.5;0.5;0.5;1.56E-224;0;TraesCS3D03G1197600;ORTHO905GF019228
TraesCS4B03G0482100;0;0.5;0.5;0.5;1.05E-219;0;TraesCS4B03G0482100;ORTHO905GF016729
TraesCS2D03G0324400;0;0.5;0.5;0.5;5.89E-219;0;TraesCS2D03G0324400;ORTHO905GF004852
TraesCS2B03G0426900;0;0.5;0.5;0.5;1.92E-214;0;TraesCS2B03G0426900;ORTHO905GF004852
TraesCS6D03G0020300;0;0.5;0.5;0.5;3.73E-208;0;TraesCS6D03G0020300;ORTHO905GF003839
TraesCS4B03G0182700;0;0.5;0.5;0.5;1.04E-206;0;TraesCS4B03G0182700;ORTHO905GF000354
TraesCS2A03G1334700;0;0.5;0.5;0.5;1.54E-206;0;TraesCS2A03G1334700;ORTHO905GF012478
TraesCS2D03G0799100;0;0.5;0.5;0.5;3.04E-206;0;TraesCS2D03G0799100;ORTHO905GF006685
#N/A;0;0.5;0.5;0.5;7.40E-202;0;#N/A;#N/A
TraesCS4A03G0828700;0;0.5;0.5;0.5;1.33E-199;0;TraesCS4A03G0828700;ORTHO905GF004852
TraesCS7B03G0229800;0;0.5;0.5;0.5;4.46E-199;0;TraesCS7B03G0229800;ORTHO905GF000931
TraesCS6B03G0028000;0;0.5;0.5;0.5;2.28E-198;0;TraesCS6B03G0028000;ORTHO905GF003839
TraesCS4D03G0749200;0;0.5;0.5;0.5;6.29E-196;0;TraesCS4D03G0749200;ORTHO905GF002219
TraesCS4D03G0150000;0;0.5;0.5;0.5;2.85E-186;0;TraesCS4D03G0150000;ORTHO905GF029582
TraesCS3B03G0004000;0;0.5;0.5;0.5;4.96E-180;0;TraesCS3B03G0004000;ORTHO905GF000395
TraesCS2D03G0039600;0;0.5;0.5;0.5;7.49E-175;0;TraesCS2D03G0039600;ORTHO905GF000647
TraesCS2B03G1534500;0;0.5;0.5;0.5;2.86E-173;0;TraesCS2B03G1534500;ORTHO905GF012478
TraesCS7A03G1125900;0;0.5;0.5;0.5;2.11E-171;0;TraesCS7A03G1125900;ORTHO905GF029245
TraesCS6A03G0207600;0;0.5;0.5;0.5;1.40E-168;0;TraesCS6A03G0207600;ORTHO905GF006718
TraesCS1A03G0564900;0;0.5;0.5;0.5;3.80E-167;0;TraesCS1A03G0564900;ORTHO905GF001914
TraesCS1D03G0362900;0;0.5;0.5;0.5;3.31E-166;0;TraesCS1D03G0362900;ORTHO905GF004852
TraesCS4A03G0065400;0;0.5;0.5;0.5;3.53E-161;0;TraesCS4A03G0065400;ORTHO905GF016935
TraesCS2A03G0038300;0;0.5;0.5;0.5;1.76E-158;0;TraesCS2A03G0038300;ORTHO905GF000647
TraesCS4B03G0805500;0;0.5;0.5;0.5;3.13E-157;0;TraesCS4B03G0805500;ORTHO905GF000571
TraesCS3A03G0007300;0;0.5;0.5;0.5;3.88E-156;0;TraesCS3A03G0007300;ORTHO905GF004853
TraesCS2A03G0071700;0;0.5;0.5;0.5;9.87E-156;0;TraesCS2A03G0071700;ORTHO905GF010470
TraesCS5B03G1313200;0;0.5;0.5;0.5;1.19E-154;0;TraesCS5B03G1313200;ORTHO905GF004852
TraesCS3B03G0134900;0;0.5;0.5;0.5;2.57E-152;0;TraesCS3B03G0134900;ORTHO905GF029429
TraesCS1D03G0351400;0;0.5;0.5;0.5;3.46E-151;0;TraesCS1D03G0351400;ORTHO905GF027911
TraesCS7A03G0422700;0;0.5;0.5;0.5;7.43E-151;0;TraesCS7A03G0422700;ORTHO905GF000931
TraesCS6A03G0014800;0;0.5;0.5;0.5;6.20E-148;0;TraesCS6A03G0014800;ORTHO905GF003839
TraesCS2B03G0426800;0;0.5;0.5;0.5;2.73E-147;0;TraesCS2B03G0426800;ORTHO905GF004852
TraesCS1A03G0249300;0;0.5;0.5;0.5;4.76E-147;0;TraesCS1A03G0249300;ORTHO905GF006714
TraesCS3A03G0006800;0;0.5;0.5;0.5;9.56E-147;0;TraesCS3A03G0006800;ORTHO905GF004853
TraesCS2B03G0417600;0;0.5;0.5;0.5;2.23E-146;0;TraesCS2B03G0417600;ORTHO905GF016952
TraesCS3A03G0449000;0;0.5;0.5;0.5;1.19E-144;0;TraesCS3A03G0449000;ORTHO905GF000443
TraesCS3B03G1405100;0;0.5;0.5;0.5;3.07E-142;0;TraesCS3B03G1405100;ORTHO905GF000379
TraesCS4A03G0580300;0;0.5;0.5;0.5;6.76E-138;0;TraesCS4A03G0580300;ORTHO905GF009768
TraesCS2A03G0309200;0;0.5;0.5;0.5;5.25E-137;0;TraesCS2A03G0309200;ORTHO905GF004852
TraesCS3D03G0416300;0;0.5;0.5;0.5;5.67E-134;0;TraesCS3D03G0416300;ORTHO905GF000443
TraesCS5A03G0924200;0;0.5;0.5;0.5;2.22E-133;0;TraesCS5A03G0924200;ORTHO905GF006685
TraesCS2B03G0317100;0;0.5;0.5;0.5;4.43E-132;0;TraesCS2B03G0317100;ORTHO905GF000763
TraesCS6A03G0417000;0;0.5;0.5;0.5;5.91E-132;0;TraesCS6A03G0417000;ORTHO905GF000358
